Area code,Area name,ow_obs,hyp_ten,low_bw,alc,Li.2.1.n,smoke,Li.2.3.g,activity,eating,Li.2.6.c,sti_screen,teen_preg,in_eet,Li.3.2.b,pupil_abs,ey_dev,training,Li.3.8.a,Li.3.9.a,ks4_dev,low_pay,pov_child,unempl,Li.4.3.d,wp_safety,Li.5.3.b,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,Pe.3.2.b,semh_child,self_harm,Pe.3.2.f,air_poll,Pl.1.3.a,road_safety,road_traff,Pl.2.2.a,Pl.2.4.a,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,Pe.1.1.combined.b,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac,trans_noise
E06000021,Stoke-on-Trent,66.93347573,16.44,3.85700846660395,928.0120860831939,32.0174554423745,20.3,101.462461,58.85454461094921,50.4774100463165,37.8,620.8463745,28.6,2.3,29.4,12.40281,65.1290977661735,19.7,0.63,45.0,55.1,26.5,24.9,5.5,0.5,358,50.7,116.732904,301.3,8.901890571012776,7.881492736,0.91,25.1,3.88,643.6823883,2.5,8.02,7.6,7.86,7.54,2.9,12.59,0.95,15.5,347.7386371,637.0320727000002,9.3481,32.9,723.23,0.009943043,15.4,13.09,6.701910833047518,4.3,0.58,0.58,0.49,94.43386594,58.40018331697279,78.79853346421774,0.6599999999999999,4.385,1.882,32.05454998009371,56.0,67.89028225473871,91.85432990925842,6.1957277694982675
E06000022,Bath and North East Somerset,56.71530632,12.72,2.54391278013325,546.175471686384,50.78817497963679,13.6,68.35600014,69.8020873502887,57.00498152344849,37.5,512.2632446,5.8,3.1,51.8,11.03782,68.9300411522634,20.7,0.46,54.0,69.5,19.8,8.3,4.1,0.1,197,49.1,41.7903565,178.8,10.040664347869305,3.013750235,0.76,19.2,3.72,475.3410536,2.77,5.01,7.78,7.82,7.47,3.19,8.41,0.81,13.3,222.1150418,505.0420926,9.729,50.8,314.65,0.002232852,9.6,7.94,13.372845634568273,10.46,0.75,0.75,0.43,51.22869706,63.97063162624501,82.62703454473484,0.64,3.8,1.6,25.25573018530765,26.0,72.13165557040142,93.01799453499015,7.949082610976225
E06000023,"Bristol, City of",56.00068994,10.8,2.88896623738253,774.2614597902789,43.8205798683946,16.3,100.4869743,73.4097890145836,57.924935026143,37.5,1099.52771,17.2,3.4,42.5,14.28064,66.3343002175489,20.4,0.5,54.0,59.0,15.6,14.1,5.0,0.3,184,48.8,72.7888369,259.9,12.614469138822464,3.559277676,0.62,22.3,4.32,630.4760171,2.12,5.49,7.63,7.65,7.27,3.21,9.98,0.98,15.0,288.49132569999995,607.2951053999999,10.5492,55.3,687.92,0.013555905,10.8,22.34,16.229280253352226,9.08,0.51,0.51,0.41,100.7816372,60.99761385717357,80.79761385717357,0.905,3.84,1.34,29.212018523685344,46.0,67.85879516186871,87.94784832173548,7.896587641439724
E06000024,North Somerset,66.93693858,16.36,2.29124236252546,611.673263472243,26.5291313270028,11.7,89.30993071,69.3764636694805,61.1394140258175,37.5,526.1904906999998,17.8,2.4,28.3,10.50934,74.1706161137441,23.9,0.48,57.0,62.8,24.5,9.8,3.5,0.1,359,50.4,51.6238033,208.7,10.08792000009494,3.175083157,1.07,18.3,5.59,564.2992775,3.5,6.47,7.64,7.8,7.57,2.82,11.43,0.87,11.8,175.74063619999995,390.5006972,9.0416,45.2,205.42,0.004246059,8.5,6.8,3.778093668387273,7.99,0.82,0.82,0.51,61.77183148,66.81557613567135,81.79802641831999,1.09,4.565,2.1319999999999997,24.920651816507807,24.0,73.27892934198522,92.79902983199928,3.8221997558370213
E06000025,South Gloucestershire,63.81107244,13.97,1.9347903977069199,677.728225654103,41.80820486020379,9.7,67.94842274,70.22182289241,59.344674838613,37.5,529.3878174,11.7,1.9,26.8,11.13073,76.2514551804424,22.0,0.38,53.0,59.8,25.1,8.6,3.6,0.2,386,46.0,28.719626799999997,179.6,7.3286794238334965,3.514751305,0.76,18.9,5.78,525.4584376,2.91,6.07,7.64,7.79,7.44,2.81,9.17,0.57,14.0,210.6647589,478.591991,10.3208,45.8,154.93,0.005182323,7.5,3.49,1.0842968515633753,8.99,0.76,0.76,0.47,49.96439892,65.29925508806298,83.16378087083494,0.88,4.105,1.642,22.92621303568955,24.0,74.79948980631599,90.9876735466178,6.558827384333086
E06000026,Plymouth,66.48223163,14.03,3.51008215085885,722.157443604095,52.6339437587055,17.2,103.0947097,71.1562043986965,54.853805733827,37.5,999.7779541000001,19.6,3.5,46.5,10.56369,63.9923591212989,27.5,0.61,54.0,57.6,22.9,14.7,5.6,0.4,253,46.2,77.97158370000002,253.2,9.51924671327166,2.616659398,0.7,24.7,4.24,570.726488,2.69,6.52,7.78,7.92,7.45,2.97,11.98,1.0,16.1,275.5434542,670.0952068,9.1283,43.7,587.43,0.011472595,11.8,8.25,7.623258561872272,6.94,0.58,0.58,0.4,62.62506909,59.24326427931618,80.80947990318462,0.685,4.425,1.82,27.093769150487,55.0,73.0210085968677,93.20996610575844,3.363685137762695
E06000027,Torbay,61.18943074,17.68,1.83946488294314,837.7281681416272,54.1518629561634,16.7,143.8615774,66.30875175664289,61.490308163932895,37.6,712.1071167,25.7,3.1,19.2,12.53979,70.63273727647871,21.8,0.66,51.0,62.3,36.1,14.9,5.4,0.4,288,52.7,110.92623400000001,243.8,14.015515879426205,4.35097897,1.1,24.6,6.35,568.4069116000003,3.63,7.41,7.72,8.01,7.55,2.83,9.89,1.25,17.4,360.2397985,877.8130784,8.5731,46.3,608.85,0.006972909,10.8,7.08,14.880288082377277,7.77,0.57,0.57,0.43,63.01802003,62.287988631459896,80.76005684270045,0.8400000000000001,4.71,2.306,28.858166922683054,72.0,71.74052339224829,91.19554631697396,5.421961941421845
E06000030,Swindon,69.21784184,13.93,2.91568163908589,763.352148493367,27.18148397311749,14.9,139.24095119999998,67.0457958963356,55.2889174888329,37.5,760.8901367000003,19.1,3.0,16.6,10.02439,68.7624750499002,26.6,0.5,46.0,60.6,16.9,11.0,4.0,0.2,203,45.9,59.1522865,234.8,9.021559836584801,3.016941286,0.59,17.9,3.31,512.6803972,2.27,7.46,7.75,7.8,7.41,2.93,9.42,0.79,16.5,332.5719382,691.3900785,10.9292,44.5,380.18,0.005658666999999999,8.8,3.77,12.80995516515692,7.24,0.65,0.65,0.42,81.60398939,62.69581663464178,81.45360234239179,0.7,4.105,1.416,26.8100995732575,45.0,70.1155333781017,93.10149949805685,4.346025537789025
E06000031,Peterborough,62.90225422,11.77,3.32261521972133,664.320789679517,37.024876525529706,17.6,148.2650387,62.006954032203296,54.4724590967083,38.6,875.8024902000003,29.8,4.3,18.1,10.84246,62.910035725885,16.5,0.5,43.0,54.3,26.2,21.2,4.6,0.2,317,46.1,75.4479723,260.5,10.864407435059213,3.731343284,0.66,19.5,2.37,627.3977307,1.99,6.69,7.61,7.75,7.61,2.93,7.96,0.87,15.5,248.03483480000003,502.2107837,10.2864,43.4,497.42,0.003559671,10.6,2.36,10.674257249599716,7.01,0.74,0.74,0.49,91.77828043,62.901106564668204,80.39715454799604,0.45,3.43,1.246,28.51589429933175,39.0,67.35053244975663,90.13492221621662,4.15461775970227
E06000032,Luton,65.12585093,12.06,4.01390644753477,727.2796290443131,13.7224134742168,16.3,95.49110474,61.755668617752285,49.8404011657519,38.0,813.331543,21.7,3.2,40.8,12.35816,65.5121808042266,12.0,0.45,45.0,55.0,24.8,23.1,5.7,0.4,257,46.9,67.7458461,280.2,9.04816600827208,5.356136065,0.49,21.4,2.52,489.0980872,1.65,7.74,7.63,7.85,7.52,2.84,7.04,0.97,14.6,173.4527411,364.6587458,10.9531,39.7,910.63,0.012969265,11.8,13.84,35.19919968135461,9.1,0.54,0.54,0.4,72.79287124,61.450580323647394,80.27794770139964,0.495,3.325,1.13,30.78860497933675,53.0,65.8178473678279,87.2608447421172,5.9122093998769545
E06000033,Southend-on-Sea,58.72123028,15.26,2.7483124397299905,534.223828093109,26.8537768537769,17.2,72.75142158,65.0036437949078,54.859044411277104,37.5,683.7290039,27.1,1.9,21.1,9.22975,71.1160714285714,25.0,0.57,56.0,68.5,27.0,12.9,5.1,0.3,190,44.6,67.70480699999999,241.6,10.761045202015918,3.579418345,0.93,22.5,3.64,601.5973635,2.54,6.56,7.62,7.81,7.42,2.92,9.36,1.2,11.5,124.9787459,229.7998795,11.0153,49.8,742.46,0.0107735,10.1,3.26,24.362424282692707,7.66,0.5,0.5,0.45,72.5003599,62.7909532352192,80.79295095401037,0.565,4.035,1.6499999999999997,26.3979471647316,25.86534260030445,66.61283785911976,91.04742192167379,6.75849495559582
E06000034,Thurrock,65.76942357,14.02,2.59454705364996,523.9867211398099,6.49614291514413,20.8,31.69030412,54.8140132008284,49.11412045885999,37.5,689.977478,18.4,2.5,22.4,9.97239,75.0,14.8,0.3,51.0,61.2,23.3,13.8,5.0,0.4,408,50.0,81.839058,240.9,12.996244607224341,2.717760565,0.56,20.6,5.49,729.9762011,2.04,6.55,7.65,7.88,7.55,3.01,8.93,0.67,13.8,53.44045989999999,104.3218769,11.7021,39.5,358.98,0.0067131840000000005,8.6,1.4,2.3749020352910444,9.23,0.69,0.69,0.55,68.75935118,62.28081672880993,80.72046215593606,0.575,3.65,1.306,30.1173936214131,16.0,68.19704344359172,89.14926867675057,3.9817493071272096
E06000035,Medway,67.84668761,14.21,2.17236467236467,490.072794823211,26.42356982428329,19.0,51.67701428,65.9963209372721,56.774086059062796,38.2,725.1519165,22.3,4.7,20.9,11.83249,73.35526315789471,22.7,0.39,49.0,64.5,23.1,15.7,6.0,0.5,302,41.0,68.067054,261.6,11.170996731564074,3.797351116,0.55,23.1,3.9,614.2901621,2.3,7.25,7.58,7.79,7.34,3.17,10.02,0.7,17.3,140.7804121,291.3517613,12.7759,41.4,663.6,0.004819581,10.1,4.92,5.054936325855638,8.65,0.58,0.58,0.45,76.35842387,60.890203533400495,80.36510288600758,0.595,3.605,1.3419999999999999,27.80524286968735,29.0,71.36186497963811,85.18311908190441,5.737177633861455
E06000036,Bracknell Forest,57.40634146,11.7,1.6216216216216202,491.82469575156,20.2087444425953,16.1,56.97649128,68.1242212406807,55.447917923126106,37.5,529.6118164,8.3,2.8,24.0,8.35112,74.041095890411,14.5,0.31,52.0,60.5,12.1,7.8,3.2,0.1,148,49.0,35.5138859,179.6,7.907555774033304,1.592718999,0.51,16.8,2.97,535.5355478,2.37,5.63,7.78,7.94,7.57,3.0,11.55,0.66,13.3,193.8376828,507.03092410000005,10.943,45.3,408.47,0.004252481,6.5,5.23,8.352125615969264,11.66,0.78,0.78,0.44,38.9292575,69.20607366574792,83.41079762799633,0.515,3.4,1.222,23.74582997359645,31.0,73.36236222306977,92.06664116846716,3.6972688052911655
E06000037,West Berkshire,59.21136894,13.2,1.7077798861480098,448.722694509882,30.692535203407804,12.8,76.12202476,71.7255640086465,59.3190855063097,37.5,427.5463562,12.9,1.6,19.5,8.31087,75.1456310679612,19.2,0.43,56.0,64.2,12.9,7.7,3.2,0.1,192,44.1,43.4404865,184.8,6.658169694949121,3.747423646,0.62,13.9,3.81,559.1102597,2.7,5.05,7.88,8.01,7.59,2.98,8.63,0.69,14.0,210.28748450000003,569.2773127,10.3564,43.3,152.34,0.002777887,7.5,3.36,8.828574311371204,10.75,1.53,1.53,0.54,44.40772879,68.26456714761376,82.81415094339623,0.69,3.85,1.3719999999999999,22.663750735156302,23.0,74.75915664090857,92.09934382195496,7.021850743207295
